gen evals time best_fitness
290 29100 228 29.0
291 29200 228 29.0
292 29300 228 29.0
293 29400 228 29.0
294 29500 228 29.0
295 29600 232 29.0
296 29700 232 29.0
297 29800 232 29.0
298 29900 232 29.0
299 30000 232 29.0
300 30100 232 29.0
301 30200 232 29.0
302 30300 232 29.0
303 30400 232 29.0
304 30500 232 29.0
305 30600 232 29.0
306 30700 236 29.0
307 30800 236 29.0
308 30900 236 29.0
309 31000 236 29.0
310 31100 236 29.0
311 31200 236 29.0
312 31300 240 29.0
313 31400 240 29.0
314 31500 244 29.0
315 31600 244 29.0
316 31700 244 29.0
317 31800 244 29.0
318 31900 244 29.0
319 32000 244 29.0
320 32100 248 29.0
321 32200 248 29.0
322 32300 248 29.0
323 32400 248 29.0
324 32500 252 29.0
325 32600 260 29.0
326 32700 264 29.0
327 32800 268 29.0
328 32900 268 29.0
329 33000 268 29.0
330 33100 272 29.0
331 33200 272 29.0
332 33300 272 29.0
333 33400 272 29.0
334 33500 272 29.0
335 33600 272 29.0
336 33700 272 29.0
337 33800 272 29.0
338 33900 272 29.0
339 34000 272 29.0
340 34100 272 29.0
341 34200 272 29.0
342 34300 272 29.0
343 34400 276 29.0
344 34500 276 29.0
345 34600 276 29.0
346 34700 276 29.0
347 34800 276 29.0
348 34900 276 29.0
349 35000 276 29.0
350 35100 276 29.0
351 35200 276 29.0
352 35300 276 29.0
353 35400 276 29.0
354 35500 276 29.0
355 35600 276 29.0
356 35700 276 29.0
357 35800 280 29.0
358 35900 280 29.0
359 36000 280 29.0
360 36100 280 29.0
361 36200 280 29.0
362 36300 280 29.0
363 36400 280 29.0
364 36500 280 29.0
365 36600 280 29.0
366 36700 284 29.0
367 36800 284 29.0
368 36900 284 29.0
369 37000 284 29.0
370 37100 284 29.0
371 37200 284 29.0
372 37300 284 29.0
373 37400 284 29.0
374 37500 284 29.0
375 37600 284 29.0
376 37700 288 29.0
377 37800 288 29.0
378 37900 288 29.0
379 38000 288 29.0
380 38100 288 29.0
381 38200 288 29.0
382 38300 288 29.0
383 38400 292 29.0
384 38500 292 29.0
385 38600 292 29.0
386 38700 292 29.0
387 38800 292 29.0
388 38900 292 29.0
389 39000 292 29.0
390 39100 292 29.0
391 39200 292 29.0
392 39300 292 29.0
393 39400 296 29.0
394 39500 296 29.0
395 39600 296 29.0
396 39700 296 29.0
397 39800 296 29.0
398 39900 296 29.0
399 40000 296 29.0
400 40100 296 29.0
401 40200 296 29.0
402 40300 296 29.0
403 40400 300 29.0
404 40500 300 29.0
405 40600 300 29.0
406 40700 300 29.0
407 40800 300 29.0
408 40900 300 29.0
409 41000 300 29.0
410 41100 300 29.0
411 41200 300 29.0
412 41300 300 29.0
413 41400 300 29.0
414 41500 304 29.0
415 41600 304 29.0
416 41700 304 29.0
417 41800 304 29.0
418 41900 304 29.0
419 42000 304 29.0
420 42100 304 29.0
421 42200 304 29.0
422 42300 304 29.0
423 42400 304 29.0
424 42500 304 29.0
425 42600 304 29.0
426 42700 304 29.0
427 42800 304 29.0
428 42900 304 29.0
429 43000 304 29.0
430 43100 308 29.0
431 43200 308 29.0
432 43300 308 29.0
433 43400 308 29.0
434 43500 308 29.0
435 43600 308 29.0
436 43700 308 29.0
437 43800 308 29.0
438 43900 308 29.0
439 44000 308 29.0
440 44100 308 29.0
441 44200 308 29.0
442 44300 308 29.0
443 44400 308 29.0
444 44500 308 29.0
445 44600 308 29.0
446 44700 312 29.0
447 44800 312 29.0
448 44900 312 29.0
449 45000 312 29.0
450 45100 312 29.0
451 45200 312 29.0
452 45300 312 29.0
453 45400 312 29.0
454 45500 312 29.0
455 45600 312 29.0
456 45700 312 29.0
457 45800 312 29.0
458 45900 312 29.0
459 46000 312 29.0
460 46100 312 29.0
461 46200 312 29.0
462 46300 316 29.0
463 46400 316 29.0
464 46500 316 29.0
465 46600 316 29.0
466 46700 316 29.0
467 46800 316 29.0
468 46900 316 29.0
469 47000 316 29.0
470 47100 316 29.0
471 47200 316 29.0
472 47300 316 29.0
473 47400 316 29.0
474 47500 320 29.0
475 47600 320 29.0
476 47700 320 29.0
477 47800 320 29.0
478 47900 320 29.0
479 48000 320 29.0
480 48100 320 29.0
481 48200 320 29.0
482 48300 320 29.0
483 48400 320 29.0
484 48500 320 29.0
485 48600 320 29.0
486 48700 320 29.0
487 48800 324 29.0
488 48900 324 29.0
489 49000 324 29.0
490 49100 324 29.0
491 49200 324 29.0
492 49300 324 29.0
493 49400 324 29.0
494 49500 324 29.0
495 49600 324 29.0
496 49700 324 29.0
497 49800 324 29.0
498 49900 324 29.0
499 50000 324 29.0
500 50100 328 29.0
501 50200 328 29.0
502 50300 328 29.0
503 50400 328 29.0
504 50500 328 29.0
505 50600 328 29.0
506 50700 328 29.0
507 50800 328 29.0
508 50900 328 29.0
509 51000 328 29.0
510 51100 328 29.0
511 51200 328 29.0
512 51300 328 29.0
513 51400 328 29.0
514 51500 332 29.0
515 51600 332 29.0
516 51700 332 29.0
517 51800 332 29.0
518 51900 332 29.0
519 52000 332 29.0
520 52100 332 29.0
521 52200 332 29.0
522 52300 332 29.0
523 52400 332 29.0
524 52500 332 29.0
525 52600 332 29.0
526 52700 332 29.0
527 52800 332 29.0
528 52900 336 29.0
529 53000 336 29.0
530 53100 336 29.0
531 53200 336 29.0
532 53300 336 29.0
533 53400 336 29.0
534 53500 336 29.0
535 53600 336 29.0
536 53700 340 29.0
537 53800 340 29.0
538 53900 340 29.0
539 54000 340 29.0
540 54100 340 29.0
541 54200 340 29.0
542 54300 340 29.0
543 54400 340 29.0
544 54500 340 29.0
545 54600 340 29.0
546 54700 340 29.0
547 54800 340 29.0
548 54900 340 29.0
549 55000 340 29.0
550 55100 340 29.0
551 55200 340 29.0
552 55300 340 29.0
553 55400 344 29.0
554 55500 344 29.0
555 55600 344 29.0
556 55700 344 29.0
557 55800 344 29.0
558 55900 344 29.0
559 56000 344 29.0
560 56100 344 29.0
561 56200 344 29.0
562 56300 344 29.0
563 56400 344 29.0
564 56500 344 29.0
565 56600 344 29.0
566 56700 344 29.0
567 56800 344 29.0
568 56900 344 29.0
569 57000 348 29.0
570 57100 348 29.0
571 57200 348 29.0
572 57300 348 29.0
573 57400 348 29.0
574 57500 348 29.0
575 57600 348 29.0
576 57700 348 29.0
577 57800 348 29.0
578 57900 348 29.0
579 58000 348 29.0
580 58100 348 29.0
581 58200 348 29.0
582 58300 348 29.0
583 58400 348 29.0
584 58500 348 29.0
585 58600 348 29.0
586 58700 348 29.0
587 58800 348 29.0
588 58900 352 29.0
589 59000 352 29.0
590 59100 352 29.0
591 59200 352 29.0
592 59300 352 29.0
593 59400 352 29.0
594 59500 352 29.0
595 59600 352 29.0
596 59700 352 29.0
597 59800 352 29.0
598 59900 352 29.0
599 60000 352 29.0
600 60100 352 29.0
601 60200 352 29.0
602 60300 352 29.0
603 60400 352 29.0
604 60500 352 29.0
605 60600 356 29.0
606 60700 356 29.0
607 60800 356 29.0
608 60900 356 29.0
609 61000 356 29.0
610 61100 356 29.0
611 61200 356 29.0
612 61300 356 29.0
613 61400 356 29.0
614 61500 356 29.0
615 61600 356 29.0
616 61700 356 29.0
617 61800 356 29.0
618 61900 356 29.0
619 62000 356 29.0
620 62100 356 29.0
621 62200 356 29.0
622 62300 360 29.0
623 62400 360 29.0
624 62500 360 29.0
625 62600 360 29.0
626 62700 360 29.0
627 62800 360 29.0
628 62900 360 29.0
629 63000 360 29.0
630 63100 360 29.0
631 63200 360 29.0
632 63300 360 29.0
633 63400 360 29.0
634 63500 360 29.0
635 63600 360 29.0
636 63700 360 29.0
637 63800 360 29.0
638 63900 360 29.0
639 64000 360 29.0
640 64100 360 29.0
641 64200 360 29.0
642 64300 364 29.0
643 64400 364 29.0
644 64500 364 29.0
645 64600 364 29.0
646 64700 364 29.0
647 64800 364 29.0
648 64900 364 29.0
649 65000 364 29.0
650 65100 364 29.0
651 65200 364 29.0
652 65300 368 29.0
653 65400 368 29.0
654 65500 368 29.0
655 65600 368 29.0
656 65700 368 29.0
657 65800 368 29.0
658 65900 368 29.0
659 66000 368 29.0
660 66100 368 29.0
661 66200 368 29.0
662 66300 368 29.0
663 66400 368 29.0
664 66500 368 29.0
665 66600 368 29.0
666 66700 368 29.0
667 66800 372 29.0
668 66900 372 29.0
669 67000 372 29.0
670 67100 372 29.0
671 67200 372 29.0
672 67300 372 29.0
673 67400 372 29.0
674 67500 372 29.0
675 67600 372 29.0
676 67700 372 29.0
677 67800 372 29.0
678 67900 372 29.0
679 68000 372 29.0
680 68100 372 29.0
681 68200 372 29.0
682 68300 372 29.0
683 68400 372 29.0
684 68500 372 29.0
685 68600 372 29.0
686 68700 376 29.0
687 68800 376 29.0
688 68900 376 29.0
689 69000 376 29.0
690 69100 376 29.0
691 69200 376 29.0
692 69300 376 29.0
693 69400 376 29.0
694 69500 376 29.0
695 69600 376 29.0
696 69700 376 29.0
697 69800 376 29.0
698 69900 376 29.0
699 70000 376 29.0
700 70100 376 29.0
701 70200 380 29.0
702 70300 380 29.0
703 70400 380 29.0
704 70500 380 29.0
705 70600 380 29.0
706 70700 380 29.0
707 70800 380 29.0
708 70900 380 29.0
709 71000 380 29.0
710 71100 380 29.0
711 71200 380 29.0
712 71300 380 29.0
713 71400 380 29.0
714 71500 380 29.0
715 71600 384 29.0
716 71700 384 29.0
717 71800 384 29.0
718 71900 384 29.0
719 72000 384 29.0
720 72100 384 29.0
721 72200 384 29.0
722 72300 384 29.0
723 72400 384 29.0
724 72500 384 29.0
725 72600 384 29.0
726 72700 388 29.0
727 72800 388 29.0
728 72900 388 29.0
729 73000 388 29.0
730 73100 388 29.0
731 73200 388 29.0
732 73300 388 29.0
733 73400 388 29.0
734 73500 388 29.0
735 73600 392 29.0
736 73700 392 29.0
737 73800 392 29.0
738 73900 392 29.0
739 74000 392 29.0
740 74100 392 29.0
741 74200 392 29.0
742 74300 392 29.0
743 74400 392 29.0
744 74500 392 29.0
745 74600 392 29.0
746 74700 392 29.0
747 74800 392 29.0
748 74900 392 29.0
749 75000 392 29.0
750 75100 392 29.0
751 75200 392 29.0
752 75300 392 29.0
753 75400 392 29.0
754 75500 392 29.0
755 75600 392 29.0
756 75700 396 29.0
757 75800 396 29.0
758 75900 396 29.0
759 76000 396 29.0
760 76100 396 29.0
761 76200 396 29.0
762 76300 396 29.0
763 76400 396 29.0
764 76500 396 29.0
765 76600 396 29.0
766 76700 396 29.0
767 76800 396 29.0
768 76900 396 29.0
769 77000 396 29.0
770 77100 396 29.0
771 77200 396 29.0
772 77300 396 29.0
773 77400 396 29.0
774 77500 396 29.0
775 77600 396 29.0
776 77700 400 29.0
777 77800 400 29.0
778 77900 400 29.0
779 78000 400 29.0
780 78100 400 29.0
781 78200 400 29.0
782 78300 400 29.0
783 78400 400 29.0
784 78500 400 29.0
785 78600 400 29.0
786 78700 400 29.0
787 78800 400 29.0
788 78900 400 29.0
789 79000 400 29.0
790 79100 400 29.0
791 79200 400 29.0
792 79300 400 29.0
793 79400 404 29.0
794 79500 412 29.0
795 79600 412 29.0
796 79700 412 29.0
797 79800 412 29.0
798 79900 412 29.0
799 80000 412 29.0
800 80100 412 29.0
801 80200 412 29.0
802 80300 412 29.0
803 80400 412 29.0
804 80500 412 29.0
805 80600 412 29.0
806 80700 412 29.0
807 80800 416 29.0
808 80900 416 29.0
809 81000 420 29.0
810 81100 420 29.0
811 81200 420 29.0
812 81300 420 29.0
813 81400 420 29.0
814 81500 420 29.0
815 81600 420 29.0
816 81700 420 29.0
817 81800 420 29.0
818 81900 420 29.0
819 82000 420 29.0
820 82100 420 29.0
821 82200 420 29.0
822 82300 420 29.0
823 82400 424 29.0
824 82500 424 29.0
825 82600 424 29.0
826 82700 424 29.0
827 82800 424 29.0
828 82900 424 29.0
829 83000 424 29.0
830 83100 424 29.0
831 83200 424 29.0
832 83300 424 29.0
833 83400 424 29.0
834 83500 424 29.0
835 83600 424 29.0
836 83700 428 29.0
837 83800 428 29.0
838 83900 428 29.0
839 84000 428 29.0
840 84100 428 29.0
841 84200 428 29.0
842 84300 428 29.0
843 84400 428 29.0
844 84500 428 29.0
845 84600 428 29.0
846 84700 428 29.0
847 84800 428 29.0
848 84900 428 29.0
849 85000 428 29.0
850 85100 432 29.0
851 85200 432 29.0
852 85300 432 29.0
853 85400 432 29.0
854 85500 432 29.0
855 85600 432 29.0
856 85700 432 29.0
857 85800 432 29.0
858 85900 432 29.0
859 86000 432 29.0
860 86100 432 29.0
861 86200 432 29.0
862 86300 432 29.0
863 86400 436 29.0
864 86500 436 29.0
865 86600 436 29.0
866 86700 436 29.0
867 86800 436 29.0
868 86900 440 29.0
869 87000 440 29.0
870 87100 440 29.0
871 87200 444 29.0
872 87300 444 29.0
873 87400 448 29.0
874 87500 448 29.0
875 87600 448 29.0
876 87700 448 29.0
877 87800 448 29.0
878 87900 448 29.0
879 88000 452 29.0
880 88100 452 29.0
881 88200 452 29.0
882 88300 452 29.0
883 88400 452 29.0
884 88500 452 29.0
885 88600 452 29.0
886 88700 452 29.0
887 88800 452 29.0
888 88900 452 29.0
