gen evals time best_fitness
0 100000 152 6.199999999999999
1 200000 476 6.199999999999999
2 300000 736 6.4
3 400000 1012 6.4
4 500000 1260 6.4
5 600000 1496 6.4
6 700000 1780 7.0
7 800000 1996 7.0
8 900000 2224 7.2
9 1000000 2436 7.2
10 1100000 2648 7.3999999999999995
11 1200000 2871 7.3999999999999995
12 1300000 3111 7.3999999999999995
