gen evals time best_fitness
0 100 4 4.800000000000001
1 200 4 4.800000000000001
2 300 8 5.200000000000001
3 400 8 5.200000000000001
4 500 8 5.6
5 600 12 5.800000000000001
6 700 12 6.0
7 800 12 6.0
8 900 12 6.199999999999999
9 1000 16 6.399999999999999
10 1100 16 6.399999999999999
11 1200 16 6.4
12 1300 16 6.4
13 1400 16 6.4
14 1500 16 6.6
15 1600 20 6.6
16 1700 20 6.6
17 1800 20 6.6
18 1900 20 6.799999999999999
19 2000 20 6.799999999999999
20 2100 20 6.799999999999999
21 2200 20 6.799999999999999
22 2300 24 6.799999999999999
23 2400 24 6.799999999999999
24 2500 24 6.799999999999999
25 2600 24 6.799999999999999
26 2700 24 6.799999999999999
27 2800 24 6.799999999999999
28 2900 24 6.799999999999999
29 3000 24 6.799999999999999
30 3100 28 6.799999999999999
31 3200 28 6.799999999999999
32 3300 28 6.799999999999999
33 3400 28 6.799999999999999
34 3500 28 6.799999999999999
35 3600 28 6.799999999999999
36 3700 28 6.799999999999999
37 3800 28 6.799999999999999
38 3900 32 6.799999999999999
39 4000 32 6.799999999999999
40 4100 32 6.799999999999999
41 4200 32 6.799999999999999
42 4300 32 6.799999999999999
43 4400 32 6.799999999999999
44 4500 32 6.799999999999999
45 4600 32 6.799999999999999
46 4700 36 6.799999999999999
47 4800 36 6.799999999999999
48 4900 36 6.799999999999999
49 5000 36 6.799999999999999
50 5100 36 6.799999999999999
51 5200 36 6.799999999999999
52 5300 36 6.799999999999999
53 5400 36 6.799999999999999
54 5500 36 6.799999999999999
55 5600 36 6.799999999999999
56 5700 40 6.799999999999999
57 5800 40 6.799999999999999
58 5900 40 6.799999999999999
59 6000 40 6.799999999999999
60 6100 40 6.799999999999999
61 6200 40 6.799999999999999
62 6300 40 6.799999999999999
63 6400 40 6.799999999999999
64 6500 44 6.799999999999999
65 6600 44 6.799999999999999
66 6700 44 6.799999999999999
67 6800 44 6.799999999999999
68 6900 44 6.799999999999999
69 7000 44 6.799999999999999
70 7100 48 6.799999999999999
71 7200 48 6.799999999999999
72 7300 48 6.799999999999999
73 7400 48 6.799999999999999
74 7500 48 6.799999999999999
75 7600 48 6.799999999999999
76 7700 48 6.799999999999999
77 7800 48 6.799999999999999
78 7900 48 6.799999999999999
79 8000 52 6.799999999999999
80 8100 52 6.799999999999999
81 8200 52 6.799999999999999
82 8300 52 6.799999999999999
83 8400 52 6.799999999999999
84 8500 52 6.799999999999999
85 8600 52 6.799999999999999
86 8700 52 6.799999999999999
87 8800 52 6.799999999999999
88 8900 56 6.799999999999999
89 9000 56 6.799999999999999
90 9100 56 6.799999999999999
91 9200 56 6.799999999999999
92 9300 56 6.799999999999999
93 9400 56 6.799999999999999
94 9500 56 6.799999999999999
95 9600 56 6.799999999999999
96 9700 56 6.799999999999999
97 9800 56 6.799999999999999
98 9900 60 6.799999999999999
99 10000 60 6.799999999999999
100 10100 60 6.799999999999999
101 10200 60 6.799999999999999
102 10300 60 6.799999999999999
103 10400 60 6.799999999999999
104 10500 60 6.799999999999999
105 10600 60 6.799999999999999
106 10700 60 6.799999999999999
107 10800 64 6.799999999999999
108 10900 64 6.799999999999999
109 11000 64 6.799999999999999
110 11100 64 6.799999999999999
111 11200 64 6.799999999999999
112 11300 64 6.799999999999999
113 11400 64 6.799999999999999
114 11500 64 6.799999999999999
115 11600 64 6.799999999999999
116 11700 64 6.799999999999999
117 11800 64 6.799999999999999
118 11900 68 6.799999999999999
119 12000 68 6.799999999999999
120 12100 68 6.799999999999999
121 12200 68 6.799999999999999
122 12300 68 6.799999999999999
123 12400 68 6.799999999999999
124 12500 68 6.799999999999999
125 12600 68 6.799999999999999
126 12700 68 6.799999999999999
127 12800 68 6.799999999999999
128 12900 68 6.799999999999999
129 13000 68 6.799999999999999
130 13100 68 6.799999999999999
131 13200 72 6.799999999999999
132 13300 72 6.799999999999999
133 13400 72 6.799999999999999
134 13500 72 6.799999999999999
135 13600 72 6.799999999999999
136 13700 72 6.799999999999999
137 13800 72 6.799999999999999
138 13900 72 6.799999999999999
139 14000 72 6.799999999999999
140 14100 72 6.799999999999999
141 14200 72 6.799999999999999
142 14300 72 6.799999999999999
143 14400 72 6.799999999999999
144 14500 72 6.799999999999999
145 14600 72 6.799999999999999
146 14700 76 6.799999999999999
147 14800 76 6.799999999999999
148 14900 76 6.799999999999999
149 15000 76 6.799999999999999
150 15100 76 6.799999999999999
151 15200 76 6.799999999999999
152 15300 76 6.799999999999999
153 15400 76 6.799999999999999
154 15500 76 6.799999999999999
155 15600 80 6.799999999999999
156 15700 80 6.799999999999999
157 15800 80 6.799999999999999
158 15900 80 6.799999999999999
159 16000 80 6.799999999999999
160 16100 80 6.799999999999999
161 16200 80 6.799999999999999
162 16300 80 6.799999999999999
163 16400 80 6.799999999999999
164 16500 80 6.799999999999999
165 16600 80 6.799999999999999
166 16700 80 6.799999999999999
167 16800 80 6.799999999999999
168 16900 80 6.799999999999999
169 17000 80 6.799999999999999
170 17100 80 6.799999999999999
171 17200 84 6.799999999999999
172 17300 84 6.799999999999999
173 17400 84 6.799999999999999
174 17500 84 6.799999999999999
175 17600 84 6.799999999999999
176 17700 84 6.799999999999999
177 17800 84 6.799999999999999
178 17900 84 6.799999999999999
179 18000 84 6.799999999999999
180 18100 84 6.799999999999999
181 18200 84 6.799999999999999
182 18300 84 6.799999999999999
183 18400 84 6.799999999999999
184 18500 84 6.799999999999999
185 18600 84 6.799999999999999
186 18700 84 6.799999999999999
187 18800 84 6.799999999999999
188 18900 88 6.799999999999999
189 19000 88 6.799999999999999
190 19100 88 6.799999999999999
191 19200 88 6.799999999999999
192 19300 88 6.799999999999999
193 19400 88 6.799999999999999
194 19500 88 6.799999999999999
195 19600 88 6.799999999999999
196 19700 88 6.799999999999999
197 19800 88 6.799999999999999
198 19900 88 6.799999999999999
199 20000 88 6.799999999999999
