gen evals time best_fitness
0 10000 28 5.200000000000001
1 20000 80 5.800000000000001
2 30000 116 5.800000000000001
3 40000 152 5.800000000000001
4 50000 180 5.800000000000001
5 60000 212 6.4
6 70000 232 6.4
7 80000 256 6.4
8 90000 276 7.0
9 100000 300 7.0
10 110000 320 7.0
11 120000 344 7.0
12 130000 364 7.0
13 140000 384 7.0
14 150000 404 7.0
15 160000 424 7.0
16 170000 448 7.199999999999999
17 180000 468 7.199999999999999
18 190000 488 7.2
19 200000 512 7.2
20 210000 532 7.2
21 220000 552 7.2
22 230000 572 7.2
23 240000 596 7.2
24 250000 616 7.2
25 260000 640 7.2
26 270000 660 7.2
27 280000 684 7.2
28 290000 704 7.3999999999999995
29 300000 728 7.3999999999999995
30 310000 752 7.3999999999999995
31 320000 772 7.3999999999999995
32 330000 796 7.3999999999999995
33 340000 828 7.3999999999999995
34 350000 856 7.3999999999999995
35 360000 880 7.3999999999999995
36 370000 904 7.3999999999999995
37 380000 924 7.3999999999999995
38 390000 948 7.3999999999999995
39 400000 968 7.3999999999999995
40 410000 992 7.3999999999999995
41 420000 1012 7.3999999999999995
42 430000 1036 7.3999999999999995
43 440000 1060 7.3999999999999995
44 450000 1080 7.3999999999999995
45 460000 1104 7.3999999999999995
46 470000 1128 7.3999999999999995
47 480000 1152 7.3999999999999995
48 490000 1176 7.3999999999999995
49 500000 1200 7.3999999999999995
50 510000 1220 7.3999999999999995
51 520000 1244 7.3999999999999995
52 530000 1268 7.3999999999999995
53 540000 1292 7.3999999999999995
54 550000 1316 7.3999999999999995
55 560000 1340 7.3999999999999995
56 570000 1360 7.3999999999999995
57 580000 1384 7.3999999999999995
58 590000 1404 7.3999999999999995
59 600000 1424 7.3999999999999995
60 610000 1444 7.3999999999999995
61 620000 1468 7.3999999999999995
62 630000 1492 7.3999999999999995
63 640000 1516 7.3999999999999995
64 650000 1544 7.3999999999999995
65 660000 1564 7.3999999999999995
66 670000 1592 7.3999999999999995
67 680000 1616 7.3999999999999995
68 690000 1640 7.3999999999999995
69 700000 1664 7.3999999999999995
70 710000 1684 7.3999999999999995
71 720000 1708 7.3999999999999995
72 730000 1728 7.3999999999999995
73 740000 1752 7.3999999999999995
74 750000 1772 7.3999999999999995
75 760000 1792 7.3999999999999995
76 770000 1812 7.3999999999999995
77 780000 1836 7.3999999999999995
78 790000 1856 7.3999999999999995
79 800000 1876 7.3999999999999995
80 810000 1896 7.3999999999999995
81 820000 1916 7.3999999999999995
82 830000 1936 7.3999999999999995
83 840000 1960 7.3999999999999995
84 850000 1980 7.3999999999999995
85 860000 2004 7.3999999999999995
86 870000 2024 7.3999999999999995
87 880000 2044 7.3999999999999995
88 890000 2064 7.3999999999999995
89 900000 2088 7.3999999999999995
90 910000 2108 7.3999999999999995
91 920000 2128 7.3999999999999995
92 930000 2148 7.3999999999999995
93 940000 2172 7.3999999999999995
94 950000 2192 7.3999999999999995
95 960000 2213 7.3999999999999995
96 970000 2237 7.3999999999999995
97 980000 2257 7.3999999999999995
98 990000 2277 7.3999999999999995
99 1000000 2297 7.3999999999999995
100 1010000 2317 7.3999999999999995
101 1020000 2337 7.3999999999999995
102 1030000 2357 7.3999999999999995
103 1040000 2381 7.3999999999999995
104 1050000 2401 7.3999999999999995
105 1060000 2421 7.3999999999999995
106 1070000 2441 7.3999999999999995
107 1080000 2465 7.3999999999999995
108 1090000 2485 7.3999999999999995
109 1100000 2505 7.3999999999999995
110 1110000 2525 7.3999999999999995
111 1120000 2545 7.3999999999999995
112 1130000 2565 7.3999999999999995
113 1140000 2585 7.3999999999999995
114 1150000 2609 7.3999999999999995
115 1160000 2629 7.3999999999999995
116 1170000 2649 7.3999999999999995
117 1180000 2669 7.3999999999999995
118 1190000 2694 7.3999999999999995
119 1200000 2714 7.3999999999999995
120 1210000 2734 7.3999999999999995
121 1220000 2754 7.3999999999999995
122 1230000 2778 7.3999999999999995
123 1240000 2798 7.3999999999999995
124 1250000 2822 7.3999999999999995
125 1260000 2842 7.3999999999999995
126 1270000 2866 7.3999999999999995
127 1280000 2902 7.3999999999999995
128 1290000 2926 7.3999999999999995
129 1300000 2950 7.3999999999999995
130 1310000 2970 7.3999999999999995
131 1320000 2990 7.3999999999999995
132 1330000 3010 7.3999999999999995
